dataset,R,horizon,mse,rmse,nrmse,rho_max,transition_entropy,min_regime_size,type
SP500,4,10,0.0008464198667449431,0.029093295907217924,1.9247519802119912,0.16597832017382327,1.003336741048987,381.9008114760313,HMM
ABIDE,1,1,0.5080849025926542,0.7128007453648278,0.7077412752479962,0.7143782195549638,-1.000000082690371e-10,122.0,HMM
ABIDE,1,5,0.597283559089646,0.772841225019503,0.7673555866998624,0.7143782195549638,-1.000000082690371e-10,122.0,HMM
ABIDE,1,10,0.5648202187050416,0.7515452206654245,0.7462107416961886,0.7143782195549638,-1.000000082690371e-10,122.0,HMM
ABIDE,2,1,1.1758589816418163,1.0843703157325066,1.0766734393702073,4.246743701170724,0.6360181675606433,50.99946281204776,HMM
ABIDE,2,5,1.0812837624890328,1.0398479516203476,1.032467095649751,4.246743701170724,0.6360181675606433,50.99946281204776,HMM
ABIDE,2,10,1.3102780025440743,1.1446737537587182,1.1365488427112422,4.246743701170724,0.6360181675606433,50.99946281204776,HMM
ABIDE,3,1,0.8613922256249683,0.9281121837498786,0.9215244298940006,7.9615950853433946,0.5706575450071787,7.999344294678082,HMM
ABIDE,3,5,2.0210534856560645,1.4216376070068153,1.411546802477797,7.9615950853433946,0.5706575450071787,7.999344294678082,HMM
ABIDE,3,10,2.281018875378319,1.5103042327221092,1.4995840711868251,7.9615950853433946,0.5706575450071787,7.999344294678082,HMM
ABIDE,4,1,2.051589827801032,1.432337190678589,1.422170440348164,7.693387433133585,0.9603281989896948,7.997864596708938,HMM
ABIDE,4,5,828265.9506925088,910.0911771314503,903.6313366441456,7.693387433133585,0.9603281989896948,7.997864596708938,HMM
ABIDE,4,10,26473817028494.84,5145271.327004518,5108750.115864866,7.693387433133585,0.9603281989896948,7.997864596708938,HMM
