m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
-4.009099228062329e-05,0.0012259242418144103,-2.8836788143843506e-05,0.0012689282838250794,-1.983047380889131e-05,0.0013910251269519,-1.0078676435603398e-05,0.0015999117118904963,3.7837493482835394e-06,0.0019186497886933733
-3.9503622596761484e-05,0.0012267272508515682,-2.808738405589625e-05,0.0012696597161074388,-1.960608305466353e-05,0.001390387598115534,-1.1202951525390815e-05,0.0015955902930899896,-4.931904580653033e-08,0.0019062694833668636
-4.035822633723767e-05,0.0012265455834942103,-2.971064621753138e-05,0.001266781398600561,-2.124820803979892e-05,0.0013826697009643185,-1.2224084356961141e-05,0.001580575513109921,4.6601506535741506e-07,0.0018806983767392345
-4.0052557571056724e-05,0.0012267840681225329,-2.9525593977618467e-05,0.0012682748199710268,-2.2286609133458863e-05,0.0013869281451419407,-1.542498320320633e-05,0.0015901295401905202,-5.750880085748415e-06,0.0018998275429820445
-3.906587403233779e-05,0.001224626886893846,-2.5900611599329235e-05,0.0012638191997879408,-1.4481425313544726e-05,0.0013796594349984148,-9.858314506607847e-07,0.0015789319636092477,1.8952575584974923e-05,0.0018825032351838396
-3.916429916170949e-05,0.0012254659551257318,-2.6297502245681733e-05,0.001265736032262584,-1.5652563716565264e-05,0.001383428978628116,-3.491164579217206e-06,0.0015860543473757423,1.427846966754832e-05,0.001895682270824013
-3.99284046418081e-05,0.0012237994830608433,-2.7887657471816078e-05,0.0012620280721044894,-1.7638218559621173e-05,0.0013772152567155876,-5.815141921756554e-06,0.0015769005116771475,1.104112512730661e-05,0.00188324208199614
-4.0336316715418006e-05,0.0012249731154655562,-2.9347123425912393e-05,0.001264419669337025,-1.9193183130660786e-05,0.0013806704560733775,-5.175990302249057e-06,0.0015814887588788402,1.7916147286899598e-05,0.0018894002311798262
-4.068989194247465e-05,0.0012254008984560279,-3.084767378290887e-05,0.0012633999868801224,-2.3163037939186655e-05,0.0013760878009244648,-1.3404154562482282e-05,0.0015701413728322021,2.7018156936306094e-06,0.001865805526417622
-4.037230536181417e-05,0.001223545572787877,-2.913799709265492e-05,0.0012593980881757077,-1.964822126441517e-05,0.0013694943266645955,-8.329786497206908e-06,0.0015601481577517992,8.160303368593738e-06,0.0018511301752640063
-4.2446674887038215e-05,0.0012272486617915593,-3.609893654797774e-05,0.0012657952306486604,-3.233173212861206e-05,0.0013782032745255641,-2.7864093711688887e-05,0.0015706559041092855,-1.970367332607116e-05,0.0018620720217465043
-4.123837394570145e-05,0.0012267728039767965,-3.275331553385528e-05,0.0012638857376141134,-2.767502077416276e-05,0.0013739068053903135,-2.3070464725700824e-05,0.0015627452875563311,-1.653100071475568e-05,0.0018489216006709968
-3.978902311265875e-05,0.0012249555148027885,-2.7784959458801542e-05,0.0012612104921370065,-1.8979301538984502e-05,0.0013708478207852893,-1.0654461809991242e-05,0.0015598912458319647,-5.463810396542131e-07,0.0018473859230631053
-3.947794332675675e-05,0.0012241033041074539,-2.6780654765829173e-05,0.0012592789869815793,-1.730956820108453e-05,0.001367763948504703,-8.060698171935747e-06,0.001555625225868699,3.6134725060897336e-06,0.0018418784087605793
-3.910805794299746e-05,0.0012215724056335098,-2.5511537058658576e-05,0.0012541216454620846,-1.5145397115622848e-05,0.001359748736314972,-4.922960712630225e-06,0.001544653322076854,7.822054500900406e-06,0.0018282664907351522
-3.741930952946193e-05,0.0012218884308052853,-2.048813967148539e-05,0.0012543852697200126,-6.087836646023121e-06,0.0013595180348465994,9.554715750558406e-06,0.0015429489635364229,3.0244027219065354e-05,0.0018231270835619513
-3.731537690189873e-05,0.0012222779298061632,-1.9682527148445957e-05,0.001254424894945575,-4.3494729959514586e-06,0.001358349574145672,1.2388552067712284e-05,0.0015393000225527875,3.4096555439637366e-05,0.0018149275049550871
-3.7865830931370894e-05,0.001221536946093038,-2.2268474701323633e-05,0.0012534623573121173,-1.0201646360282604e-05,0.001357999447802783,1.1779794053135016e-06,0.0015406083242046138,1.3545933111767519e-05,0.0018193179066143402
-3.594814604400102e-05,0.001221725749438599,-1.6896691676404217e-05,0.0012536897666170195,-6.249595024660962e-07,0.001357804698753475,1.691899539294362e-05,0.001538932920710574,3.8815762185444865e-05,0.001813811334044855
-3.637442483900959e-05,0.0012179360359026014,-1.9303866408908567e-05,0.0012445422019541153,-5.764892770433095e-06,0.0013407873831015014,8.35902035401863e-06,0.00151011900768894,2.6117358656197637e-05,0.0017669619403729504
-3.684573369872898e-05,0.001218575706547852,-2.0555083831709704e-05,0.0012465007752636439,-7.85744556680029e-06,0.0013446721218805598,5.426356600289337e-06,0.00151657427919222,2.2721829778801627e-05,0.001776763235568035
-3.648371597505975e-05,0.0012199076811430576,-1.9261886209595875e-05,0.0012499290700566327,-5.321664831983618e-06,0.001351444436595389,9.515348077144898e-06,0.0015289876212005928,2.8783497354238104e-05,0.001798907799162916
-3.7859983742278364e-05,0.001219182253524808,-2.3267269572417038e-05,0.0012485358348260798,-1.199544011170532e-05,0.0013484047575027468,-3.22131542996335e-07,0.0015222469130226777,1.4821202605948021e-05,0.0017847100904222774
-3.739794901909457e-05,0.0012196921936379025,-2.1837082739768336e-05,0.0012499977226852878,-9.780123981111244e-06,0.0013511194691891203,2.2016025430519983e-06,0.0015268413039260884,1.6875338456243172e-05,0.0017924710515116837
-3.8418324704982124e-05,0.0012216403311336767,-2.384435765232234e-05,0.001255451400067981,-1.1568250955049202e-05,0.001362365132425636,1.9603814465477476e-06,0.0015476579934289236,1.991917726297615e-05,0.0018289865476381845
-3.682913533958171e-05,0.001218451357324428,-1.848118854955185e-05,0.0012489657524906352,-1.0028908940049555e-06,0.0013518479168405696,1.9915679548810955e-05,0.0015319616008882496,4.8402736647072865e-05,0.0018065484576962132
-3.85086254216346e-05,0.0012161103842428997,-2.372748913844373e-05,0.0012431256110450864,-1.1169506954531852e-05,0.0013404286378739386,2.408205032219845e-06,0.0015117321383266212,1.9780225832767417e-05,0.0017725115237914755
-3.725167758906195e-05,0.001214300362983618,-2.0571684755468768e-05,0.0012399773493224464,-6.769384523738232e-06,0.0013358322622835034,7.370641358444565e-06,0.00150534864519333,2.442269214486772e-05,0.0017638978523896126
-3.7731120063068755e-05,0.0012123310015758502,-2.1088893832906374e-05,0.0012354630189634784,-6.124457476496536e-06,0.0013281073346478598,1.0618911118372694e-05,0.0014932851474596502,3.2386024138543985e-05,0.001745584665787744
-3.6075390819696697e-05,0.001208561163693752,-1.661509678128291e-05,0.001229731075799592,1.067078766214018e-06,0.0013215223578861048,2.1328112022375547e-05,0.0014869466231815839,4.84650328971799e-05,0.001741073148465267
-3.5046777572080627e-05,0.0012088070472798475,-1.4654887191298243e-05,0.0012304629438794031,2.4769108374627144e-06,0.001323437749515831,2.0433044368313784e-05,0.0014909796926351434,4.268040580275768e-05,0.0017483215874162781
-3.3466623188332055e-05,0.00120765523006773,-9.596244915369646e-06,0.0012287128059470655,1.19880276843997e-05,0.0013207131903261167,3.620313817674754e-05,0.0014861747796872714,6.739876237942314e-05,0.001739279970200586
-3.3510356693272815e-05,0.001207798951947729,-1.0288173715480172e-05,0.001228534176957794,1.0119944056226037e-05,0.0013202926044691748,3.235775322956834e-05,0.0014861971590108976,6.0366767979651496e-05,0.0017414459223637543
-3.260555067416724e-05,0.0012086040594905731,-8.421117140495081e-06,0.0012330093174614447,1.1817205672106262e-05,0.0013312903406103248,3.2584743334639574e-05,0.0015077600458330942,5.718315648699134e-05,0.0017800330597219746
-3.327615241740357e-05,0.0012101332081060636,-1.057462237769609e-05,0.0012361181902726128,7.803018511164291e-06,0.0013368856400920804,2.5654511164676483e-05,0.0015173045745806824,4.516352647194789e-05,0.0017956389198878736
-3.400845257195505e-05,0.0012089920994987566,-1.1969765220593368e-05,0.0012337149564507319,6.8309841176030885e-06,0.0013332364773913118,2.64002355688244e-05,0.001512451963571253,5.000845107375253e-05,0.0017895381561291838
-3.407055815754e-05,0.0012158681116925581,-9.855549201105593e-06,0.0012461815703349271,1.2851938318793737e-05,0.0013512459900141265,3.7812433352910085e-05,0.0015366574690546166,6.86195633496872e-05,0.0018209133411589426
-3.614310016764525e-05,0.0012185143618476473,-1.6120814222727376e-05,0.0012502073536147108,1.2597931214577594e-06,0.00135593332857849,1.839539002773445e-05,0.0015417821842927972,3.729193974382945e-05,0.0018268897989287658
-3.5733141351410216e-05,0.0012207414395010159,-1.4181479857510295e-05,0.0012548198679244893,5.78107732202574e-06,0.0013640660078925104,2.696600123881297e-05,0.0015557798752647433,5.2273289443747154e-05,0.001851120554620103
-3.5437041361480545e-05,0.0012203355166435755,-1.4758524755526579e-05,0.0012541348272783865,2.611085855015581e-06,0.0013633664211885961,1.8511941737194306e-05,0.0015553081697382046,3.399687202290004e-05,0.0018511314415683435
-3.463804109227926e-05,0.0012221659230337112,-1.2863500500506446e-05,0.0012582391943366902,5.022002018790979e-06,0.0013701213066772324,2.0778716626180946e-05,0.0015651052353029722,3.4710286757830465e-05,0.0018641900891650694
-3.294804478784973e-05,0.0012178709762782824,-8.829248337879316e-06,0.0012506849253688574,1.0982755960573942e-05,0.0013603822999956362,2.8675392282904283e-05,0.001554669824270933,4.531594853752951e-05,0.0018554449824567643
-3.391200064257985e-05,0.0012208387857453756,-1.0912748860954743e-05,0.0012557175452858615,8.118383987835883e-06,0.001366629921814657,2.4620602357138274e-05,0.001560984501027858,3.903477574942534e-05,0.0018601762528838886
-3.323457106176334e-05,0.0012231000068419757,-9.401447833853744e-06,0.0012604807478044924,1.0902383485758238e-05,0.0013735440142002874,3.034133887462648e-05,0.0015688024124576618,5.081100617916072e-05,0.001865963098829904
-3.5100993387700955e-05,0.0012184931588741814,-1.5026471569815445e-05,0.0012493000293253367,1.1606602059298117e-06,0.0013530624688611302,1.490344679133859e-05,0.0015346514030872144,2.6594644053064925e-05,0.0018113690391164826
-3.5377179964730256e-05,0.0012193922710475274,-1.5433576277919233e-05,0.0012519141205866136,1.2053439345000182e-06,0.0013585864315512606,1.6763187501925592e-05,0.001545041862703246,3.292043874312793e-05,0.001829808507054162
-3.499960916771207e-05,0.0012163954369059995,-1.3894951666817536e-05,0.001246803149058245,5.845027670493751e-06,0.0013515229774302604,2.795863873559923e-05,0.0015354284586576745,5.6232459974259324e-05,0.0018161188853330385
-3.4004241795482814e-05,0.0012175279302376895,-1.0140969568316163e-05,0.0012492670002799556,1.3302356008564717e-05,0.0013564064228422466,4.0008734111276915e-05,0.001544775319595089,7.402806613419573e-05,0.0018334128227541287
-3.5254979171840626e-05,0.001217349987581055,-1.3617392644107935e-05,0.0012482346834776527,7.546959248623049e-06,0.00135438887558673,3.151630061212232e-05,0.001541682813530756,6.233976502008726e-05,0.0018289387276285666
-3.304493431275076e-05,0.001217890586356521,-6.841822978212208e-06,0.0012488419521434852,1.9307205394671133e-05,0.0013547536539573006,4.897148663048143e-05,0.0015415188644647545,8.638413167382838e-05,0.0018278624798038657
-3.261622334995661e-05,0.0012171241207156749,-6.471458989804056e-06,0.0012457756669814345,1.8309898982002308e-05,0.0013479302738901957,4.454341121059244e-05,0.0015297826087724204,7.518905399358569e-05,0.0018108595015221183
-3.249153856953197e-05,0.001214812890559151,-6.183879073854063e-06,0.001242717427269483,1.8948030275123512e-05,0.0013453017981645587,4.575966706710046e-05,0.0015290871427141137,7.728012645017008e-05,0.00181454197332316
-3.448746713807142e-05,0.0012111092823345803,-1.2190480230421403e-05,0.00123471504330945,8.751579527531164e-06,0.0013313274297952137,3.084877674620303e-05,0.0015068270918790502,5.6739429865868744e-05,0.0017808752687001083
-3.595056350751455e-05,0.0012106960353296078,-1.5933033190732614e-05,0.0012331943878624186,3.1959638256891714e-06,0.0013284440626498768,2.3651373487572434e-05,0.0015030968845243771,4.76621858477774e-05,0.001778172493727421
-3.626455973701796e-05,0.0012109560057415533,-1.7018109736671354e-05,0.0012341372243503189,5.865207021956356e-07,0.0013298310533305646,1.8284398300263763e-05,0.0015039701178623324,3.788421136691783e-05,0.001776364994869148
-3.557999775348839e-05,0.001206705080579493,-1.4349924831921117e-05,0.0012278225890207236,5.950657316776138e-06,0.0013230918236500071,2.7238933940286722e-05,0.0014988661203410615,5.1681875980114063e-05,0.00177626630750456
-3.6378796142236355e-05,0.0012073569723344902,-1.5994922924273114e-05,0.0012298629345776724,4.834287444304639e-06,0.0013281405839298103,2.850128236905462e-05,0.0015095668613361753,5.835089015417723e-05,0.0017967355966380955
-3.534318224584059e-05,0.0012071714905043606,-1.4321624628313137e-05,0.0012294888165804772,5.732027975165299e-06,0.001327125705115711,2.76471131520421e-05,0.0015074574298500345,5.47886159008193e-05,0.0017931973055172205
-3.460594745642607e-05,0.0012085248131296872,-1.2271308355670823e-05,0.0012302982287619518,9.664963260726477e-06,0.001325789827416118,3.408301273236437e-05,0.001501655933951686,6.42814671050927e-05,0.0017789660663975503
-3.542923772416815e-05,0.0012097350281408254,-1.3913780682296556e-05,0.0012332083174622075,7.635370610471124e-06,0.0013314003218694041,3.105278158442563e-05,0.0015115112996426166,5.819510751895582e-05,0.0017954642274015718
-3.6419794218858796e-05,0.0012103928984520376,-1.6467511643997166e-05,0.0012334747832317024,4.123936911988979e-06,0.0013302657172022943,2.7635402748912158e-05,0.001507409073355652,5.7069583790905244e-05,0.0017854030935748292
-3.6379047463793047e-05,0.0012118672512667521,-1.6808122601367114e-05,0.0012365904695687765,3.927591321821823e-06,0.0013352168502388227,2.8910214579937887e-05,0.0015147339361217566,6.186970439614197e-05,0.0017962598639275395
-3.583855070399819e-05,0.001210206588714686,-1.5029940321459018e-05,0.0012313457168777065,7.923811097671907e-06,0.0013232484640607965,3.7040399566829314e-05,0.0014910433735596128,7.744208084062789e-05,0.001752763736328685
-3.691193037866191e-05,0.0012094176071996286,-1.715261203293569e-05,0.0012294954952698333,5.7150633218586135e-06,0.0013204962120842703,3.577813047638596e-05,0.0014879057481735373,7.885783836639513e-05,0.0017501830465112393
-3.7756544524618364e-05,0.0012099978879854551,-1.99755274849356e-05,0.0012318697056495878,3.8798452909448587e-07,0.0013250525667575148,2.6655921654285485e-05,0.0014949867055501936,6.377161441168576e-05,0.0017603913945725782
-3.767389290875825e-05,0.001211354590798715,-2.0319594619294155e-05,0.0012346425267345611,-6.313310678524835e-07,0.0013301556094309924,2.4761959054843255e-05,0.0015039412042047115,6.0879893458066663e-05,0.0017755760885227176
-3.75855044064614e-05,0.0012108879407379156,-1.8393123877595822e-05,0.001236259052802282,5.786189236526176e-06,0.0013360113937208034,3.9298090542132394e-05,0.0015173191984333846,8.911850257284037e-05,0.0018021203029583521
-3.6538944070335966e-05,0.0012089177670681177,-1.6696059720601146e-05,0.0012321378592951265,7.166892203404089e-06,0.0013282516202066128,3.920839152430754e-05,0.0015027732127927851,8.527443117649099e-05,0.0017749727338664308
-3.7374818860341166e-05,0.0012103048122946943,-1.9422550814137023e-05,0.00123588809213136,2.2450654596715985e-06,0.001334450051557684,3.1029508845716014e-05,0.001511156141900655,7.179132666527837e-05,0.001784708077862553
-3.7373000709446285e-05,0.0012114448610749669,-2.0208669629281085e-05,0.0012386252475225109,2.4370264871264843e-07,0.001338628887509417,2.7264741419307694e-05,0.0015159341663091223,6.557129868467712e-05,0.0017880903993298606
-3.673354963645029e-05,0.0012110476207494148,-1.7948935951405112e-05,0.0012361147438476677,4.3197017747379234e-06,0.0013329225856556473,3.325952234501828e-05,0.001506083041902972,7.332467892940696e-05,0.001772968492856536
-3.606663828528636e-05,0.0012090976050777578,-1.4835185803328143e-05,0.0012321120966598932,1.1741870987693556e-05,0.0013262329143800874,4.8087257008719654e-05,0.001495681571927987,0.00010058498611822908,0.0017574015925105155
-3.84554264264821e-05,0.0012111690939166954,-2.2424766127309096e-05,0.001234964483063596,-1.9111699313288744e-06,0.0013288338974343072,2.7088187216300743e-05,0.0014968140753333174,7.0344984849672e-05,0.0017555134853005979
-3.7780802111912685e-05,0.0012119534826743384,-2.0020318736000407e-05,0.0012384762134790641,2.821104196666372e-06,0.00133730168108049,3.5345020345894716e-05,0.0015131759425746451,8.437886452025098e-05,0.0017840903819030377
