permno,indno,mbrstartdt,mbrenddt,mbrflg,indfam
12308,1000500,2016-09-08,2025-10-31,NORM,1100500
12319,1000500,1957-03-01,2001-12-14,NORM,1100500
12343,1000500,1957-03-01,1959-05-27,NORM,1100500
12343,1000500,1964-01-16,1975-08-13,NORM,1100500
12345,1000500,2012-09-05,2025-10-31,NORM,1100500
12369,1000500,2013-06-07,2025-10-31,NORM,1100500
12394,1000500,1925-12-31,1963-03-22,NORM,1100500
12431,1000500,1957-03-01,2009-06-30,NORM,1100500
12431,1000500,2010-11-17,2025-10-31,NORM,1100500
12448,1000500,2019-01-02,2023-05-03,NORM,1100500
12449,1000500,2018-06-20,2025-10-31,NORM,1100500
12456,1000500,2011-01-04,2012-05-24,NORM,1100500
12458,1000500,1957-03-01,1998-06-30,NORM,1100500
12466,1000500,1957-03-01,1978-08-23,NORM,1100500
12474,1000500,1925-12-31,1940-04-15,NORM,1100500
12476,1000500,2022-10-12,2025-10-31,NORM,1100500
12490,1000500,1957-03-01,2025-10-31,NORM,1100500
12503,1000500,1925-12-31,2006-12-19,NORM,1100500
12511,1000500,1957-03-01,1965-01-06,NORM,1100500
12511,1000500,1975-02-06,2000-10-17,NORM,1100500
12542,1000500,2013-07-09,2022-10-11,NORM,1100500
12546,1000500,1925-12-31,2002-07-19,NORM,1100500
12558,1000500,2012-05-25,2025-10-31,NORM,1100500
12570,1000500,1925-12-31,1941-08-20,NORM,1100500
12570,1000500,1957-03-01,2011-10-31,NORM,1100500
12591,1000500,2024-12-23,2025-10-31,NORM,1100500
12618,1000500,1957-03-01,1957-07-03,NORM,1100500
12622,1000500,2015-01-27,2025-10-31,NORM,1100500
12623,1000500,2018-01-03,2025-10-31,NORM,1100500
12626,1000500,1957-03-01,1984-11-21,NORM,1100500
12650,1000500,1958-06-04,1976-06-30,NORM,1100500
12650,1000500,1999-04-05,2000-07-12,NORM,1100500
12650,1000500,2013-05-24,2021-12-13,NORM,1100500
12669,1000500,1957-03-01,1975-10-15,NORM,1100500
12706,1000500,1925-12-31,1981-06-24,NORM,1100500
12730,1000500,1950-07-03,1980-09-26,NORM,1100500
12749,1000500,1925-12-31,1944-06-07,NORM,1100500
12749,1000500,1957-03-01,2002-01-16,NORM,1100500
12757,1000500,1957-03-01,1963-12-04,NORM,1100500
12781,1000500,1957-03-01,1976-06-30,NORM,1100500
12810,1000500,1925-12-31,1941-08-20,NORM,1100500
12837,1000500,1957-03-01,1980-08-27,NORM,1100500
12872,1000500,2011-07-01,2025-10-31,NORM,1100500
12888,1000500,1941-08-20,1990-12-11,NORM,1100500
12896,1000500,1957-03-01,1968-12-10,NORM,1100500
12909,1000500,1925-12-31,1971-06-23,NORM,1100500
12933,1000500,1925-12-31,1944-06-07,NORM,1100500
12933,1000500,1984-03-01,1986-06-04,NORM,1100500
